x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100,x101,x102,x103,x104,x105,x106,x107,x108,x109,x110,x111,x112,x113,x114,x115,x116,x117,x118,x119,x120,x121,x122,x123,x124,x125,x126,x127,x128,x129,x130,x131,x132,x133,x134,x135,x136,x137,x138,x139,x140,x141,x142,x143,x144,x145,x146,x147,x148,x149,x150,x151,x152,x153,x154,x155,x156,x157,x158,x159,x160,x161,x162,x163,x164,x165,x166,x167,x168,x169,x170,x171,x172,x173,x174,x175,x176,x177,x178,x179,x180,x181,x182,x183,x184,x185,x186,x187,x188,x189,x190,x191,x192,x193,x194,x195,x196,x197,x198,x199,x200
0,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.66,0.67,0.68,0.69,0.7,0.71,0.72,0.73,0.74,0.75,0.76,0.77,0.78,0.79,0.8,0.81,0.82,0.83,0.84,0.85,0.86,0.87,0.88,0.89,0.9,0.91,0.92,0.93,0.94,0.95,0.96,0.97,0.98,0.99,1,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.89,0.88,0.87,0.86,0.85,0.84,0.83,0.82,0.81,0.8,0.79,0.78,0.77,0.76,0.75,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.35,0.34,0.33,0.32,0.31,0.3,0.29,0.28,0.27,0.26,0.25,0.24,0.23,0.22,0.21,0.2,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.1,0.09,0.08,0.07,0.06,0.05,0.04,0.03,0.02,0.01,0
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.59,0.6,0.61,0.62,0.63,0.64,0.65,0.659999,0.669999,0.679999,0.689998,0.699998,0.709997,0.719996,0.729994,0.739992,0.749989,0.759985,0.769979,0.779971,0.78996,0.799945,0.809925,0.819896,0.829858,0.839804,0.849731,0.859631,0.869493,0.879303,0.889043,0.898685,0.908193,0.917518,0.92659,0.935315,0.943564,0.951158,0.957853,0.963313,0.967076,0.968508,0.967076,0.963313,0.957853,0.951158,0.943564,0.935315,0.92659,0.917518,0.908193,0.898685,0.889043,0.879303,0.869493,0.859631,0.849731,0.839804,0.829858,0.819896,0.809925,0.799945,0.78996,0.779971,0.769979,0.759985,0.749989,0.739992,0.729994,0.719996,0.709997,0.699998,0.689998,0.679999,0.669999,0.659999,0.65,0.64,0.63,0.62,0.61,0.6,0.59,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.41,0.4,0.39,0.38,0.37,0.36,0.35,0.340001,0.330001,0.320001,0.310002,0.300002,0.290003,0.280004,0.270006,0.260008,0.250011,0.240015,0.230021,0.220029,0.21004,0.200055,0.190075,0.180104,0.170142,0.160196,0.150269,0.140369,0.130507,0.120697,0.110957,0.101315,0.091807,0.0824824,0.0734103,0.064685,0.0564361,0.0488418,0.0421466,0.0366866,0.0329236,0.0314918
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54,0.55,0.56,0.57,0.58,0.589999,0.599999,0.609999,0.619999,0.629998,0.639998,0.649997,0.659996,0.669994,0.679992,0.689989,0.699986,0.709981,0.719974,0.729965,0.739954,0.749938,0.759918,0.76989,0.779854,0.789805,0.799741,0.809657,0.819545,0.829398,0.839204,0.84895,0.858617,0.868181,0.877612,0.886873,0.895915,0.904678,0.913086,0.921048,0.928452,0.935166,0.941038,0.945895,0.949557,0.951849,0.952632,0.951849,0.949557,0.945895,0.941038,0.935166,0.928452,0.921048,0.913086,0.904678,0.895915,0.886873,0.877612,0.868181,0.858617,0.84895,0.839204,0.829398,0.819545,0.809657,0.799741,0.789805,0.779854,0.76989,0.759918,0.749938,0.739954,0.729965,0.719974,0.709981,0.699986,0.689989,0.679992,0.669994,0.659996,0.649997,0.639998,0.629998,0.619999,0.609999,0.599999,0.589999,0.58,0.57,0.56,0.55,0.54,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.46,0.45,0.44,0.43,0.42,0.410001,0.400001,0.390001,0.380001,0.370002,0.360002,0.350003,0.340004,0.330006,0.320008,0.310011,0.300014,0.290019,0.280026,0.270035,0.260046,0.250062,0.240082,0.23011,0.220146,0.210195,0.200259,0.190343,0.180455,0.170602,0.160796,0.15105,0.141383,0.131819,0.122388,0.113127,0.104085,0.0953222,0.086914,0.0789522,0.0715481,0.0648338,0.0589624,0.0541051,0.0504429,0.0481509,0.0473679
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.539999,0.549999,0.559999,0.569999,0.579998,0.589998,0.599997,0.609996,0.619994,0.629993,0.63999,0.649987,0.659983,0.669978,0.679971,0.689962,0.69995,0.709934,0.719914,0.729888,0.739854,0.74981,0.759753,0.76968,0.779585,0.789464,0.799307,0.809107,0.818852,0.828527,0.838113,0.84759,0.85693,0.8661,0.875061,0.883766,0.892158,0.900173,0.907735,0.914761,0.921157,0.926823,0.931655,0.93555,0.938413,0.940166,0.940757,0.940166,0.938413,0.93555,0.931655,0.926823,0.921157,0.914761,0.907735,0.900173,0.892158,0.883766,0.875061,0.8661,0.85693,0.84759,0.838113,0.828527,0.818852,0.809107,0.799307,0.789464,0.779585,0.76968,0.759753,0.74981,0.739854,0.729888,0.719914,0.709934,0.69995,0.689962,0.679971,0.669978,0.659983,0.649987,0.63999,0.629993,0.619994,0.609996,0.599997,0.589998,0.579998,0.569999,0.559999,0.549999,0.539999,0.53,0.52,0.51,0.5,0.49,0.48,0.47,0.460001,0.450001,0.440001,0.430001,0.420002,0.410002,0.400003,0.390004,0.380006,0.370007,0.36001,0.350013,0.340017,0.330022,0.320029,0.310038,0.30005,0.290066,0.280086,0.270112,0.260146,0.25019,0.240247,0.23032,0.220415,0.210536,0.200693,0.190893,0.181148,0.171473,0.161887,0.15241,0.14307,0.1339,0.124939,0.116234,0.107842,0.0998274,0.0922648,0.0852388,0.0788427,0.0731767,0.0683448,0.0644499,0.0615868,0.0598337,0.0592432
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.45,0.46,0.47,0.48,0.489999,0.499999,0.509999,0.519999,0.529998,0.539998,0.549997,0.559997,0.569996,0.579994,0.589992,0.59999,0.609987,0.619984,0.629979,0.639972,0.649964,0.659954,0.669941,0.679924,0.689902,0.699874,0.709838,0.719793,0.729735,0.739662,0.74957,0.759453,0.769306,0.779121,0.78889,0.7986,0.80824,0.817792,0.827238,0.836554,0.845714,0.854685,0.863431,0.871909,0.88007,0.887861,0.895221,0.902086,0.908385,0.914046,0.918997,0.923166,0.926487,0.928904,0.930374,0.930866,0.930374,0.928904,0.926487,0.923166,0.918997,0.914046,0.908385,0.902086,0.895221,0.887861,0.88007,0.871909,0.863431,0.854685,0.845714,0.836554,0.827238,0.817792,0.80824,0.7986,0.78889,0.779121,0.769306,0.759453,0.74957,0.739662,0.729735,0.719793,0.709838,0.699874,0.689902,0.679924,0.669941,0.659954,0.649964,0.639972,0.629979,0.619984,0.609987,0.59999,0.589993,0.579994,0.569996,0.559997,0.549998,0.539998,0.529999,0.519999,0.51,0.5,0.49,0.480001,0.470001,0.460002,0.450002,0.440003,0.430004,0.420006,0.410007,0.40001,0.390013,0.380016,0.370021,0.360028,0.350036,0.340046,0.330059,0.320076,0.310098,0.300126,0.290162,0.280207,0.270265,0.260338,0.25043,0.240547,0.230694,0.220879,0.21111,0.2014,0.19176,0.182208,0.172762,0.163446,0.154286,0.145315,0.136569,0.128091,0.11993,0.112139,0.104779,0.0979141,0.091615,0.0859536,0.081003,0.0768342,0.0735128,0.0710955,0.0696265,0.0691336
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.42,0.43,0.44,0.449999,0.459999,0.469999,0.479999,0.489999,0.499998,0.509998,0.519997,0.529996,0.539995,0.549993,0.559991,0.569989,0.579985,0.589981,0.599976,0.609969,0.619961,0.62995,0.639937,0.64992,0.659898,0.669871,0.679836,0.689793,0.699739,0.709672,0.719587,0.729482,0.739352,0.74919,0.75899,0.768744,0.778441,0.78807,0.797616,0.807063,0.816392,0.825581,0.834603,0.843429,0.852027,0.860357,0.86838,0.876049,0.883315,0.890127,0.896429,0.902165,0.907279,0.911717,0.915428,0.918366,0.920494,0.921783,0.922214,0.921783,0.920494,0.918366,0.915428,0.911717,0.907279,0.902165,0.896429,0.890127,0.883315,0.876049,0.86838,0.860357,0.852027,0.843429,0.834603,0.825581,0.816392,0.807063,0.797616,0.78807,0.778441,0.768744,0.75899,0.74919,0.739352,0.729482,0.719587,0.709672,0.699739,0.689793,0.679836,0.669871,0.659898,0.64992,0.639937,0.62995,0.619961,0.60997,0.599976,0.589982,0.579986,0.569989,0.559992,0.549994,0.539995,0.529997,0.519998,0.509999,0.5,0.490001,0.480002,0.470003,0.460005,0.450006,0.440008,0.430011,0.420014,0.410018,0.400024,0.39003,0.380039,0.37005,0.360063,0.35008,0.340102,0.330129,0.320164,0.310207,0.300261,0.290328,0.280413,0.270518,0.260648,0.25081,0.24101,0.231256,0.221559,0.21193,0.202384,0.192937,0.183608,0.174419,0.165397,0.156571,0.147973,0.139643,0.13162,0.123951,0.116685,0.109873,0.103571,0.0978354,0.0927212,0.0882831,0.0845722,0.0816337,0.0795059,0.0782172,0.0777856
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.38,0.39,0.4,0.41,0.419999,0.429999,0.439999,0.449999,0.459998,0.469998,0.479997,0.489996,0.499995,0.509994,0.519993,0.52999,0.539988,0.549985,0.55998,0.569975,0.579969,0.58996,0.59995,0.609937,0.619921,0.629901,0.639875,0.649844,0.659805,0.669756,0.679697,0.689623,0.699531,0.709419,0.719282,0.729114,0.738908,0.748658,0.758355,0.767988,0.777545,0.787012,0.796373,0.805609,0.8147,0.82362,0.832345,0.840842,0.849081,0.857025,0.864635,0.87187,0.878686,0.88504,0.890886,0.896177,0.900869,0.904922,0.908295,0.910957,0.912879,0.91404,0.914429,0.91404,0.912879,0.910957,0.908295,0.904922,0.900869,0.896177,0.890886,0.88504,0.878686,0.87187,0.864635,0.857025,0.849081,0.840842,0.832345,0.82362,0.8147,0.805609,0.796373,0.787012,0.777545,0.767988,0.758355,0.748658,0.738908,0.729114,0.719282,0.709419,0.699531,0.689623,0.679697,0.669757,0.659805,0.649844,0.639876,0.629901,0.619921,0.609937,0.599951,0.589961,0.579969,0.569976,0.559982,0.549986,0.53999,0.529993,0.519995,0.509998,0.5,0.490002,0.480005,0.470007,0.46001,0.450014,0.440018,0.430024,0.420031,0.410039,0.400049,0.390063,0.380079,0.370099,0.360124,0.350156,0.340195,0.330243,0.320303,0.310377,0.300469,0.290581,0.280718,0.270886,0.261092,0.251342,0.241645,0.232012,0.222455,0.212988,0.203627,0.194391,0.1853,0.17638,0.167655,0.159158,0.150919,0.142975,0.135365,0.12813,0.121314,0.11496,0.109114,0.103823,0.0991306,0.0950782,0.0917045,0.0890431,0.0871214,0.08596,0.0855714
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.35,0.36,0.37,0.379999,0.389999,0.399999,0.409999,0.419999,0.429998,0.439998,0.449997,0.459996,0.469995,0.479994,0.489992,0.49999,0.509988,0.519985,0.529981,0.539976,0.54997,0.559962,0.569952,0.57994,0.589926,0.599907,0.609885,0.619857,0.629822,0.63978,0.649728,0.659665,0.669588,0.679493,0.689378,0.699239,0.70907,0.718866,0.728621,0.738325,0.747972,0.757549,0.767046,0.776448,0.785739,0.794904,0.803921,0.812768,0.821423,0.829857,0.838041,0.845946,0.853536,0.860778,0.867633,0.874065,0.880034,0.885503,0.890435,0.894792,0.898542,0.901655,0.904105,0.90587,0.906936,0.907292,0.906936,0.90587,0.904105,0.901655,0.898542,0.894792,0.890435,0.885503,0.880034,0.874065,0.867633,0.860778,0.853536,0.845946,0.838041,0.829857,0.821423,0.812768,0.803921,0.794904,0.785739,0.776448,0.767046,0.757549,0.747972,0.738325,0.728621,0.718866,0.70907,0.699239,0.689378,0.679493,0.669588,0.659665,0.649729,0.639781,0.629823,0.619857,0.609885,0.599908,0.589927,0.579942,0.569954,0.559964,0.549973,0.539979,0.529985,0.519991,0.509995,0.5,0.490005,0.480009,0.470015,0.460021,0.450027,0.440036,0.430046,0.420058,0.410073,0.400092,0.390115,0.380143,0.370177,0.360219,0.350271,0.340335,0.330412,0.320507,0.310622,0.300761,0.29093,0.281134,0.271379,0.261675,0.252028,0.242451,0.232954,0.223552,0.214261,0.205096,0.196079,0.187232,0.178577,0.170143,0.161959,0.154054,0.146464,0.139222,0.132367,0.125935,0.119966,0.114497,0.109565,0.105208,0.101458,0.0983448,0.0958951,0.0941297,0.093064,0.0927078
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.32,0.33,0.34,0.349999,0.359999,0.369999,0.379999,0.389998,0.399998,0.409998,0.419997,0.429996,0.439995,0.449994,0.459992,0.469991,0.479988,0.489985,0.499982,0.509977,0.519971,0.529964,0.539956,0.549945,0.559932,0.569916,0.579896,0.589872,0.599842,0.609806,0.619762,0.629709,0.639644,0.649565,0.659471,0.669356,0.679218,0.689053,0.698855,0.708618,0.718337,0.728002,0.737604,0.747135,0.756582,0.765931,0.775169,0.784279,0.793242,0.802039,0.810647,0.819043,0.827201,0.835093,0.84269,0.849961,0.856875,0.863398,0.869498,0.875141,0.880295,0.884929,0.889012,0.892518,0.895422,0.897703,0.899345,0.900335,0.900666,0.900335,0.899345,0.897703,0.895422,0.892518,0.889012,0.884929,0.880295,0.875141,0.869498,0.863398,0.856875,0.849961,0.84269,0.835093,0.827201,0.819044,0.810648,0.802039,0.793242,0.784279,0.775169,0.765931,0.756582,0.747135,0.737604,0.728002,0.718337,0.708619,0.698855,0.689053,0.679219,0.669356,0.659471,0.649566,0.639645,0.62971,0.619764,0.609808,0.599844,0.589874,0.579899,0.56992,0.559937,0.549951,0.539963,0.529974,0.519983,0.509992,0.5,0.490008,0.480017,0.470026,0.460037,0.450049,0.440063,0.43008,0.420101,0.410126,0.400156,0.390192,0.380236,0.37029,0.360355,0.350434,0.340529,0.330644,0.320781,0.310947,0.301145,0.291381,0.281663,0.271998,0.262396,0.252865,0.243418,0.234069,0.224831,0.215721,0.206758,0.197961,0.189352,0.180956,0.172799,0.164907,0.15731,0.150039,0.143125,0.136602,0.130502,0.124859,0.119705,0.115071,0.110988,0.107482,0.104578,0.102297,0.100655,0.0996649,0.099334
9.83333e-31,0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3,0.31,0.319999,0.329999,0.339999,0.349999,0.359998,0.369998,0.379998,0.389997,0.399996,0.409995,0.419994,0.429993,0.439991,0.449989,0.459986,0.469983,0.479979,0.489974,0.499968,0.50996,0.519951,0.529939,0.539925,0.549908,0.559888,0.569863,0.579832,0.589795,0.599751,0.609697,0.619632,0.629554,0.639461,0.649349,0.659215,0.669056,0.678867,0.688643,0.698377,0.708063,0.717694,0.72726,0.736752,0.746158,0.755466,0.764663,0.773732,0.782658,0.791421,0.800002,0.808379,0.816529,0.824427,0.832048,0.839364,0.846347,0.852968,0.859199,0.865011,0.870373,0.875259,0.879642,0.883496,0.886799,0.889531,0.891674,0.893215,0.894144,0.894454,0.894144,0.893215,0.891674,0.889531,0.886799,0.883496,0.879642,0.875259,0.870373,0.865011,0.859199,0.852969,0.846347,0.839364,0.832048,0.824427,0.816529,0.808379,0.800002,0.791421,0.782658,0.773733,0.764663,0.755466,0.746158,0.736752,0.72726,0.717694,0.708063,0.698377,0.688643,0.678868,0.669057,0.659216,0.64935,0.639462,0.629556,0.619634,0.6097,0.599754,0.5898,0.579838,0.56987,0.559897,0.54992,0.539939,0.529956,0.519972,0.509986,0.5,0.490014,0.480028,0.470044,0.460061,0.45008,0.440103,0.43013,0.420162,0.4102,0.400246,0.3903,0.380366,0.370444,0.360538,0.35065,0.340784,0.330943,0.321132,0.311357,0.301623,0.291937,0.282306,0.27274,0.263248,0.253842,0.244534,0.235337,0.226267,0.217342,0.208579,0.199998,0.191621,0.183471,0.175573,0.167952,0.160636,0.153653,0.147031,0.140801,0.134989,0.129627,0.124741,0.120358,0.116504,0.113201,0.110469,0.108326,0.106785,0.105856,0.105546
