x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76,x77,x78,x79,x80,x81,x82,x83,x84,x85,x86,x87,x88,x89,x90,x91,x92,x93,x94,x95,x96,x97,x98,x99,x100
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.0990368,0.0896759,0.0812008,0.0735277,0.0665806,0.0602908,0.0545959,0.0494398,0.0447713,0.0405444,0.0367171,0.0332517,0.0301139,0.0272727,0.0247,0.0223705,0.0202611,0.0183509,0.0166213,0.0150549,0.0136365,0.012352,0.0111888,0.0101354,0.0091814,0.00831742,0.00753494,0.00682628,0.00618444,0.00560312,0.00507661,0.00459971,0.00416776,0.0037765,0.00342209,0.00310105,0.00281024,0.0025468,0.00230815,0.00209194,0.00189608,0.00171862,0.00155785,0.00141218,0.0012802,0.00116061,0.00105225,0.000954057,0.000865077,0.000784442,0.000711367,0.00064514,0.000585117,0.000530716,0.000481407,0.000436713,0.000396199,0.000359474,0.000326181,0.000296,0.000268637,0.00024383,0.000221337,0.000200944,0.000182453,0.000165687,0.000150484,0.000136699,0.000124199,0.000112865,0.000102588,9.327e-05,8.48222e-05,7.7164e-05,7.02224e-05,6.39315e-05,5.82316e-05,5.30685e-05,4.83935e-05,4.41622e-05,4.03347e-05,3.68749e-05,3.37503e-05,3.09314e-05,2.83918e-05,2.61076e-05,2.40575e-05,2.22224e-05,2.0585e-05,1.91301e-05,1.78442e-05,1.67153e-05,1.5733e-05,1.48881e-05,1.41729e-05,1.35808e-05,1.31064e-05,1.27452e-05,1.24941e-05,1.23507e-05,1.23139e-05
0.149053,0.139385,0.130214,0.121532,0.113328,0.105589,0.0983012,0.0914484,0.0850135,0.0789786,0.0733257,0.0680366,0.0630929,0.0584766,0.05417,0.0501558,0.0464172,0.0429379,0.0397023,0.0366955,0.033903,0.0313112,0.028907,0.0266782,0.0246131,0.0227005,0.0209302,0.0192922,0.0177774,0.016377,0.0150831,0.0138878,0.0127842,0.0117655,0.0108256,0.00995859,0.00915913,0.00842217,0.00774302,0.00711732,0.00654102,0.00601035,0.00552184,0.00507223,0.00465852,0.00427794,0.00392791,0.00360605,0.00331014,0.00303814,0.00278818,0.00255851,0.00234752,0.00215372,0.00197574,0.00181232,0.00166229,0.00152458,0.00139819,0.00128221,0.00117579,0.00107817,0.000988634,0.000906517,0.000831219,0.000762185,0.000698903,0.000640904,0.000587757,0.000539065,0.000494463,0.000453618,0.000416221,0.000381993,0.000350674,0.000322028,0.000295838,0.000271904,0.000250045,0.000230096,0.000211902,0.000195327,0.000180242,0.000166533,0.000154094,0.000142831,0.000132657,0.000123493,0.000115269,0.000107923,0.000101397,9.56422e-05,9.06133e-05,8.62721e-05,8.25853e-05,7.95245e-05,7.70666e-05,7.51927e-05,7.38887e-05,7.31449e-05,7.2956e-05
0.186557,0.176807,0.167431,0.158426,0.14979,0.141517,0.133604,0.126042,0.118825,0.111946,0.105395,0.0991631,0.0932416,0.0876203,0.0822892,0.077238,0.0724562,0.0679335,0.0636595,0.0596236,0.0558157,0.0522255,0.0488431,0.0456588,0.042663,0.0398464,0.0372,0.0347151,0.0323831,0.0301961,0.028146,0.0262255,0.0244272,0.0227442,0.0211701,0.0196983,0.0183229,0.0170383,0.0158389,0.0147195,0.0136753,0.0127016,0.011794,0.0109483,0.0101607,0.00942736,0.00874483,0.00810979,0.00751914,0.00696997,0.00645952,0.00598521,0.00554463,0.00513548,0.00475565,0.00440313,0.00407606,0.00377268,0.00349135,0.00323054,0.00298882,0.00276486,0.0025574,0.00236528,0.00218743,0.00202281,0.0018705,0.00172961,0.00159934,0.00147891,0.00136762,0.00126482,0.00116989,0.00108228,0.00100145,0.000926927,0.000858251,0.000795007,0.000736812,0.000683307,0.000634165,0.000589082,0.000547779,0.000510001,0.000475511,0.000444094,0.000415554,0.000389711,0.000366403,0.000345482,0.000326817,0.00031029,0.000295796,0.000283244,0.000272553,0.000263656,0.000256498,0.000251033,0.000247227,0.000245056,0.000244508
0.217809,0.208018,0.198538,0.189369,0.180509,0.171956,0.163707,0.155758,0.148107,0.140747,0.133675,0.126884,0.120371,0.114128,0.108149,0.102428,0.0969576,0.0917316,0.0867428,0.081984,0.0774478,0.0731269,0.0690142,0.0651022,0.0613838,0.0578515,0.0544984,0.0513173,0.0483013,0.0454436,0.0427374,0.0401762,0.0377536,0.0354634,0.0332996,0.0312561,0.0293274,0.0275079,0.0257923,0.0241754,0.0226523,0.0212182,0.0198685,0.0185988,0.017405,0.0162829,0.0152286,0.0142386,0.0133092,0.0124371,0.011619,0.010852,0.0101331,0.00945947,0.00882859,0.00823792,0.0076851,0.00716788,0.00668415,0.00623189,0.00580921,0.0054143,0.00504549,0.00470115,0.00437979,0.00407999,0.0038004,0.00353976,0.00329689,0.00307067,0.00286006,0.00266407,0.00248177,0.00231232,0.0021549,0.00200874,0.00187315,0.00174746,0.00163106,0.00152337,0.00142386,0.00133202,0.00124741,0.00116959,0.00109817,0.00103278,0.000973091,0.000918799,0.000869621,0.000825305,0.00078562,0.000750361,0.000719344,0.000692408,0.000669412,0.000650236,0.000634782,0.000622968,0.000614733,0.000610037,0.000608856
0.245155,0.235337,0.225793,0.21652,0.20752,0.198788,0.190325,0.182128,0.174194,0.166521,0.159105,0.151943,0.145031,0.138365,0.131941,0.125754,0.1198,0.114074,0.10857,0.103285,0.0982111,0.0933446,0.0886795,0.0842105,0.0799317,0.0758378,0.071923,0.0681817,0.0646083,0.0611972,0.057943,0.0548401,0.0518831,0.0490667,0.0463855,0.0438346,0.0414087,0.0391029,0.0369123,0.0348323,0.0328582,0.0309854,0.0292097,0.0275267,0.0259324,0.0244227,0.0229938,0.021642,0.0203636,0.0191551,0.0180133,0.0169348,0.0159167,0.0149558,0.0140494,0.0131947,0.012389,0.0116299,0.010915,0.0102419,0.00960843,0.00901254,0.00845221,0.00792553,0.00743069,0.00696597,0.00652972,0.00612039,0.00573651,0.00537667,0.00503955,0.00472389,0.00442851,0.00415227,0.00389413,0.00365309,0.00342819,0.00321857,0.00302338,0.00284185,0.00267324,0.00251687,0.00237211,0.00223835,0.00211504,0.00200168,0.00189778,0.00180292,0.00171668,0.00163871,0.00156867,0.00150627,0.00145123,0.00140333,0.00136235,0.00132812,0.0013005,0.00127936,0.00126461,0.0012562,0.00125409
0.269767,0.259931,0.250341,0.240996,0.231896,0.223039,0.214425,0.206052,0.197917,0.19002,0.182357,0.174926,0.167725,0.160751,0.154,0.147469,0.141154,0.135053,0.129161,0.123475,0.11799,0.112702,0.107608,0.102702,0.09798,0.0934383,0.0890721,0.0848768,0.0808478,0.0769807,0.0732708,0.0697136,0.0663045,0.0630391,0.0599127,0.0569211,0.0540597,0.0513242,0.0487103,0.0462139,0.0438306,0.0415566,0.0393876,0.0373198,0.0353495,0.0334727,0.0316859,0.0299854,0.0283679,0.0268298,0.025368,0.0239792,0.0226604,0.0214085,0.0202206,0.0190939,0.0180258,0.0170136,0.0160547,0.0151468,0.0142876,0.0134746,0.0127059,0.0119793,0.0112928,0.0106446,0.0100328,0.00945558,0.00891137,0.00839856,0.0079156,0.00746106,0.00703356,0.00663177,0.00625446,0.00590044,0.00556858,0.00525782,0.00496717,0.00469566,0.00444241,0.00420658,0.00398738,0.00378407,0.00359596,0.00342242,0.00326284,0.00311667,0.0029834,0.00286258,0.00275377,0.0026566,0.00257072,0.00249582,0.00243165,0.00237798,0.00233461,0.00230139,0.00227821,0.00226498,0.00226166
0.292329,0.282479,0.272855,0.263456,0.254281,0.24533,0.236602,0.228096,0.219809,0.211742,0.203891,0.196255,0.188833,0.181621,0.174618,0.16782,0.161226,0.154832,0.148635,0.142633,0.136822,0.131199,0.125761,0.120503,0.115423,0.110517,0.105782,0.101213,0.0968067,0.0925598,0.0884681,0.0845279,0.0807354,0.0770867,0.0735779,0.0702053,0.066965,0.0638533,0.0608664,0.0580005,0.055252,0.0526171,0.0500924,0.0476742,0.0453591,0.0431436,0.0410242,0.0389978,0.037061,0.0352107,0.0334437,0.031757,0.0301476,0.0286126,0.0271491,0.0257546,0.0244262,0.0231613,0.0219575,0.0208123,0.0197234,0.0186883,0.0177051,0.0167714,0.0158852,0.0150446,0.0142476,0.0134923,0.0127771,0.0121002,0.0114599,0.0108548,0.0102832,0.00974382,0.00923522,0.00875611,0.00830524,0.00788144,0.00748357,0.00711057,0.00676143,0.0064352,0.00613098,0.00584793,0.00558525,0.00534221,0.00511811,0.00491232,0.00472425,0.00455334,0.00439912,0.00426112,0.00413895,0.00403225,0.0039407,0.00386404,0.00380203,0.00375451,0.00372133,0.00370239,0.00369765
0.313281,0.303421,0.29377,0.284328,0.275095,0.26607,0.257252,0.24864,0.240234,0.232032,0.224032,0.216234,0.208635,0.201234,0.194029,0.187017,0.180198,0.173568,0.167125,0.160866,0.15479,0.148892,0.143172,0.137625,0.132249,0.127041,0.121998,0.117116,0.112393,0.107826,0.103411,0.0991445,0.0950241,0.0910462,0.0872074,0.0835045,0.0799341,0.076493,0.0731779,0.0699854,0.0669123,0.0639554,0.0611114,0.0583772,0.0557495,0.0532253,0.0508015,0.0484751,0.0462429,0.0441022,0.0420499,0.0400833,0.0381995,0.0363958,0.0346695,0.033018,0.0314387,0.0299292,0.0284869,0.0271095,0.0257947,0.0245403,0.0233439,0.0222036,0.0211172,0.0200828,0.0190984,0.0181621,0.0172722,0.0164269,0.0156246,0.0148635,0.0141422,0.0134592,0.0128129,0.0122022,0.0116256,0.0110819,0.01057,0.0100886,0.00963666,0.00921323,0.0088173,0.00844797,0.00810438,0.00778572,0.00749125,0.00722026,0.00697211,0.0067462,0.00654199,0.00635899,0.00619674,0.00605486,0.005933,0.00583086,0.00574819,0.00568478,0.00564049,0.00561522,0.00560889
0.332928,0.323059,0.313386,0.303909,0.294628,0.285543,0.276652,0.267955,0.25945,0.251138,0.243017,0.235086,0.227342,0.219786,0.212415,0.205228,0.198222,0.191397,0.184749,0.178278,0.17198,0.165854,0.159898,0.154108,0.148483,0.14302,0.137716,0.132569,0.127576,0.122735,0.118043,0.113496,0.109093,0.10483,0.100704,0.0967131,0.0928538,0.0891233,0.0855188,0.0820373,0.0786759,0.0754317,0.0723019,0.0692836,0.066374,0.0635703,0.0608696,0.0582692,0.0557663,0.0533583,0.0510424,0.0488161,0.0466767,0.0446217,0.0426486,0.0407549,0.0389382,0.0371961,0.0355263,0.0339266,0.0323946,0.0309283,0.0295255,0.0281841,0.0269022,0.0256778,0.024509,0.023394,0.022331,0.0213182,0.0203541,0.0194369,0.0185651,0.0177372,0.0169518,0.0162075,0.015503,0.0148369,0.0142081,0.0136154,0.0130577,0.012534,0.0120432,0.0115843,0.0111566,0.0107592,0.0103913,0.0100521,0.00974098,0.00945734,0.0092006,0.00897022,0.00876574,0.00858674,0.00843287,0.00830379,0.00819926,0.00811905,0.008063,0.008031,0.008023
